拠点ID,区市町村,名称,所在地,緯度１,経度１,緯度２,経度２,緯度３,経度３,緯度４,経度４,緯度５,経度５,緯度６,経度６,連絡先,連絡先詳細,入出庫可能時間,休業日,収容台数,一時利用/定期利用の別,一時利用部分の有料/無料の別,定期利用部分の有料/無料の別,ジャンル１,ジャンル２,備考,情報提供元
36014,東村山市,新秋津駅第３駐輪場,東京都東村山市秋津町5-14-9.14,35.776776,139.493558,,,,,,,,,,,042-398-1232,新秋津駅第１駐輪場へ連絡,24時間,なし,186台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・東村山市
36016,東村山市,秋津駅第１駐輪場,東京都東村山市秋津町5-8-12,35.777064,139.496297,,,,,,,,,,,042-398-1231,,24時間（管理人6時30分～20時30分）,なし,自転車（定期利用）769台、原付（定期利用）30台、自転車（一時利用）211台、原付（一時利用）12台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・東村山市
36017,東村山市,秋津駅第２駐輪場,東京都東村山市秋津町5-7-31.32,35.778208,139.495865,,,,,,,,,,,042-398-1231,秋津駅第１駐輪場へ連絡,24時間,なし,134台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・東村山市
36018,東村山市,萩山駅北口駐輪場,東京都東村山市萩山町2-3-3,35.741126,139.477122,,,,,,,,,,,042-398-1230,,24時間（管理人6時30分～20時30分）,なし,自転車（定期利用）250台、原付（定期利用）5台、自転車（一時利用）134台、バイク（一時利用）5台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・東村山市
36019,東村山市,八坂駅北側駐輪場,東京都東村山市栄町3-26-28　栄町3-16-35,35.745271,139.467439,,,,,,,,,,,042-393-5111,東村山市役所へ連絡,24時間,なし,444台,一時利用のみ,無（令和4年度より有料）,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・東村山市
36020,東村山市,多摩湖駅駐輪場,東京都東村山市多摩湖町3-10-9,35.765458,139.443294,,,,,,,,,,,042-393-5111,東村山市役所へ連絡,24時間,なし,352台,一時利用のみ,無料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・東村山市
36021,東村山市,西武園駅駐輪場,東京都東村山市多摩湖町4-29-3,35.767878,139.449227,,,,,,,,,,,042-393-5111,東村山市役所へ連絡,24時間,なし,132台,一時利用のみ,無料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・東村山市
36022,東村山市,三井のリパーク　久米川駅前駐輪場,東京都東村山市栄町2-10,35.750188,139.47099,,,,,,,,,,,0120-325-130,,24時間,なし,57台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・東村山市
36023,東村山市,サイクルタイムズ久米川,東京都東村山市栄町2-6,35.748215,139.473554,,,,,,,,,,,0120-77-8924,,24時間,なし,50台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・東村山市
36025,東村山市,Ｂ－Ｐａｒｋ24　東村山駅東口,東京都東村山市久米川町4-8-12,35.760946,139.468941,,,,,,,,,,,042-400-0008,,24時間,なし,自転車520台、バイク33台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・東村山市
36026,東村山市,サイクル・インＢ－Ｐａｒｋ　東村山駅東口駐輪場,東京都東村山市久米川町4-8-12,35.761429,139.468756,,,,,,,,,,,042-400-0008,,24時間,なし,自転車1000台、バイク48台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・東村山市
36028,東村山市,三井のリパーク　東村山駅前駐輪場,東京都東村山市野口町1-1-4,35.761301,139.465258,,,,,,,,,,,0120-325-130,,24時間,なし,147台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・東村山市
36029,東村山市,駐輪館,東京都東村山市野口町1-25-8,35.758815,139.46415,,,,,,,,,,,080-3531-8636,,24時間,なし,自転車228台、バイク15台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・東村山市
36030,東村山市,Ａ－Ｐarkサイクル新秋津駅前,東京都東村山市秋津町5-25,35.778398,139.493105,,,,,,,,,,,0120-000-942,,24時間,なし,自転車244台、バイク28台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・東村山市
36031,東村山市,サイクルタイムズ秋津,東京都東村山市秋津町5-8,35.777366,139.495559,,,,,,,,,,,044-789-5519,,24時間,なし,自転車273台、原付計34台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・東村山市
36032,東村山市,西武スマイルパーク　秋津駅南口駐輪場,東京都東村山市秋津町5-7-8,35.778369,139.495859,,,,,,,,,,,03-3490-3224,,24時間,なし,50台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・東村山市
36034,東村山市,秋津駅前駐輪場No.１,東京都東村山市秋津町5-8-33,35.778117,139.4966,,,,,,,,,,,0120-162-088,,24時間,なし,103台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・東村山市
36036,東村山市,三井のリパーク　新秋津駅前駐輪場,東京都東村山市秋津町5-14-1,35.77727,139.493268,,,,,,,,,,,0120-325-130,,24時間,なし,187台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・東村山市
36039,東村山市,新秋津駅第5駐輪場,東京都東村山市秋津町5-17-1.2.3,35.776513,139.492752,,,,,,,,,,,042-398-1232,新秋津駅第１駐輪場へ連絡,24時間,なし,自転車（定期利用）1000台、原付（定期利用）30台、自転車（一時利用）200台、原付（一時利用）30台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・東村山市
37001,国分寺市,国分寺駅北口自転車駐車場,東京都国分寺市本町2-1-8,35.70054,139.483213,,,,,,,,,,,042-325-2367,,6:00-（翌）1:00,なし,3146台(うち原動機付自転車97台),"自転車は定期利用のみ
原動機付自転車は一時利用と定期利用
",有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国分寺市
37005,国分寺市,国分寺駅南口自転車駐車場,東京都国分寺市南町3-22-17,35.699588,139.47875,,,,,,,,,,,042-328-3990,,4:00-（翌）1:00,なし,1271台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国分寺市
37006,国分寺市,国分寺駅南口原動機付自転車駐車場,東京都国分寺市南町3-9先,35.698551,139.481132,,,,,,,,,,,042-328-3990,,24時間,なし,（原動機付自転車のみ）131台,定期利用のみ,,有料,,,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国分寺市
37007,国分寺市,殿ヶ谷戸庭園西自転車駐車場,東京都国分寺市南町2-16先,35.69944,139.481411,,,,,,,,,,,042-328-3990,,24時間,なし,191台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国分寺市
37008,国分寺市,西国分寺駅北口自転車駐車場,東京都国分寺市西恋ヶ窪2-3-3,35.70047,139.465792,,,,,,,,,,,042-322-2344,,24時間,なし,2367台(うち原動機付自転車65台),一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国分寺市
37009,国分寺市,西国分寺駅北口第２自転車駐車場,東京都国分寺市西恋ヶ窪2-2-17,35.700738,139.465832,,,,,,,,,,,042-322-2344,,24時間,なし,85台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国分寺市
37010,国分寺市,西国分寺駅南口自転車駐車場,東京都国分寺市泉町3-35-1-113,35.698643,139.465977,,,,,,,,,,,042-325-2821,,6:00-（翌）1:00,なし,1015台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国分寺市
37011,国分寺市,西国分寺駅南口第２自転車駐車場,東京都国分寺市泉町3-35-31,35.699394,139.465934,,,,,,,,,,,042-325-2821,,24時間,なし,105台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国分寺市
37012,国分寺市,アットパーク泉町二丁目自転車等駐車場,東京都国分寺市泉町2-9-2 ,35.69942,139.4678,,,,,,,,,,,,,24時間,なし,300台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国分寺市
37013,国分寺市,アットパーク国立駅北口駐輪場,東京都国分寺市光町1-40-2,35.700767,139.447537,,,,,,,,,,,,,24時間,なし,3000台(うち原動機付自転車200台),一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国分寺市
37014,国分寺市,西武スマイルパーク恋ヶ窪駅第３駐輪場,東京都国分寺市戸倉1-1-11,35.712055,139.463161,,,,,,,,,,,,,24時間,なし,93台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国分寺市
37015,国分寺市,西武スマイルパーク恋ヶ窪駅第２駐輪場,東京都国分寺市戸倉1-1-1,35.711513,139.463636,,,,,,,,,,,,,24時間,なし,123台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国分寺市
37016,国分寺市,西武スマイルパーク恋ヶ窪駅第４駐輪場,東京都国分寺市東戸倉2-11-1,35.71123,139.464381,,,,,,,,,,,,,24時間,なし,303台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国分寺市
37018,国分寺市,SOCP本町4丁目,東京都国分寺市本町4-13-12,35.701015,139.478817,,,,,,,,,,,,,5:30-（翌）1:00,なし,500台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国分寺市
37020,国分寺市,国分寺駅北口地下自転車駐車場,東京都国分寺市本町3-1-10,35.7017595,139.480367,,,,,,,,,,,042-321-4887,,4:00-（翌）1:00,なし,"3,066台",一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国分寺市
38001,国立市,国立駅南第１自転車駐車場,東京都国立市中1-1-46,35.698956,139.444047,,,,,,,,,,,042-576-2111,,24時間,なし,2605台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国立市
38002,国立市,国立駅南第２自転車駐車場,東京都国立市中1-16-30,35.69739,139.446008,,,,,,,,,,,042-576-2111,,24時間,なし,927台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国立市
38005,国立市,谷保駅北第１自転車駐車場,東京都国立市富士見台2-17-8,35.681936,139.445584,,,,,,,,,,,042-576-2111,,24時間,なし,200台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国立市
38006,国立市,谷保駅北第２自転車駐車場,東京都国立市富士見台2-17-2,35.682374,139.445842,,,,,,,,,,,042-576-2111,,24時間,なし,370台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国立市
38007,国立市,谷保駅北第３自転車駐車場,東京都国立市谷保5014-6,35.681677,139.446215,,,,,,,,,,,042-576-2111,,24時間,なし,78台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国立市
38008,国立市,谷保駅北第４自転車駐車場,東京都国立市富士見台1-19-5,35.680919,139.448371,,,,,,,,,,,042-576-2111,,24時間,なし,180台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国立市
38009,国立市,谷保駅北第５自転車駐車場,東京都国立市谷保4979-3,35.681048,139.447934,,,,,,,,,,,042-576-2111,,24時間,なし,108台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国立市
38010,国立市,谷保駅北第６自転車駐車場,東京都国立市富士見台2-16-1,35.681928,139.446534,,,,,,,,,,,042-576-2111,,24時間,なし,127台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国立市
38011,国立市,谷保駅南自転車駐車場,東京都国立市谷保5003-8,35.68132,139.446317,,,,,,,,,,,042-576-2111,,24時間,なし,190台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国立市
38012,国立市,矢川駅北第１自転車駐車場,東京都国立市富士見台4-8-1,35.686132,139.432619,,,,,,,,,,,042-576-2111,,24時間,なし,350台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国立市
38013,国立市,矢川駅北第２自転車駐車場,東京都国立市富士見台3-35-5,35.684969,139.433324,,,,,,,,,,,042-576-2111,,24時間,なし,360台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国立市
38014,国立市,矢川駅北第３Ａ自転車駐車場,東京都国立市富士見台4-11-4,35.685263,139.431004,,,,,,,,,,,042-576-2111,,24時間,なし,350台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国立市
38015,国立市,矢川駅北第３Ｂ自転車駐車場,東京都国立市富士見台4-11-4,35.685427,139.430948,,,,,,,,,,,042-576-2111,,24時間,なし,92台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国立市
38016,国立市,大学通り自転車駐車場,東京都国立市東2-29,35.695826,139.446985,,,,,,,,,,,042-576-2111,,24時間,なし,1300台,一時利用のみ,無料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国立市
38017,国立市,中央線高架下自転車駐車場,東京都国立市北2-37-6,35.6992427,139.441404,,,,,,,,,,,042-576-2111,,24時間,なし,2007台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・国立市
39001,福生市,福生駅西口自転車駐車場,東京都福生市福生977-20,35.7449,139.32579,,,,,,,,,,,042-530-8285,,24時間,なし,自転車416台・バイク（１２５ＣＣ以下）35台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・福生市
39002,福生市,福生駅東口地下自転車駐車場,東京都福生市東町5-1,35.74292,139.327894,,,,,,,,,,,042-530-8285,,4:30-（翌）1:30,なし,自転車2091台・バイク（５０ＣＣ以下）145台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・福生市
39003,福生市,牛浜駅西口自転車駐車場,東京都福生市牛浜58-1,35.734834,139.331507,,,,,,,,,,,042-530-8261,,24時間,なし,自転車486台・バイク（１２５ＣＣ以下）72台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・福生市
39004,福生市,牛浜駅東口自転車駐車場,東京都福生市牛浜148-4,35.734832,139.334887,,,,,,,,,,,042-530-8261,,24時間,なし,自転車567台・バイク（１２５ＣＣ以下）13台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・福生市
39005,福生市,拝島駅北口自転車駐車場,東京都福生市熊川1398-1,35.722674,139.343052,,,,,,,,,,,042-530-7902,,24時間,なし,自転車275台・バイク（１２５ＣＣ以下）57台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・福生市
39006,福生市,熊川駅東自転車駐車場,東京都福生市熊川798-1,35.727959,139.3367,,,,,,,,,,,042-530-8261,,24時間,なし,自転車69台・バイク（１２５ＣＣ以下）7台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・福生市
39007,福生市,東福生駅東口自転車駐車場,東京都福生市福生2051-1,35.7459525,139.336111,,,,,,,,,,,042-530-8285,,24時間,なし,自転車27台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・福生市
39008,福生市,東福生駅西口自転車駐車場,東京都福生市福生2153-3,35.745746,139.335808,,,,,,,,,,,042-530-8285,,24時間,なし,自転車231台・バイク（１２５ＣＣ以下）10台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・福生市
40001,狛江市,オダクル狛江第1,東京都狛江市和泉本町1-2,35.633645,139.579177,,,,,,,,,,,03-3488-7181,,24時間,なし,自転車799台　バイク30台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・狛江市
40002,狛江市,オダクル狛江第2,東京都狛江市元和泉1-11,35.631277,139.576364,,,,,,,,,,,03-3488-7181,,24時間,なし,自転車1644台　バイク70台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・狛江市
40003,狛江市,オダクルマルシェ狛江,東京都狛江市元和泉1-1,35.633318,139.578662,,,,,,,,,,,03-3488-7181,,24時間,なし,517台,一時利用と定期利用の併設,一定時間無料、その後有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・狛江市
40004,狛江市,狛江駅北口自転車駐車場,東京都狛江市元和泉1-3,35.633074,139.577115,,,,,,,,,,,0120-3566-21,,24時間,なし,177台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・狛江市
40005,狛江市,狛江駅南口第１自転車等駐車場,東京都狛江市東和泉1-17,35.632345,139.577804,,,,,,,,,,,0120-3566-21,,24時間,なし,自転車95台　バイク5台,一時利用のみ,一定時間無料、その後有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・狛江市
40006,狛江市,オダクル喜多見店舗,東京都狛江市岩戸北2-20,35.636389,139.585226,,,,,,,,,,,03-5438-4433,,24時間,なし,290台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・狛江市
40007,狛江市,オダクル喜多見第2,東京都狛江市岩戸北1-24,35.635988,139.585049,,,,,,,,,,,03-5438-4433,,24時間,なし,自転車778台　バイク30台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・狛江市
40008,狛江市,東都サイクルパーク喜多見第１,東京都狛江市岩戸北4-6,35.636193,139.58639,,,,,,,,,,,0120-009-910,,24時間,なし,65台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・狛江市
40009,狛江市,小川園宝島駐輪場,東京都狛江市岩戸北4-2,35.634924,139.587379,,,,,,,,,,,03-3480-7707,,24時間,なし,200台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・狛江市
40010,狛江市,オダクル和泉多摩川第1,東京都狛江市東和泉4-1,35.628511,139.574392,,,,,,,,,,,03-3488-7181,,24時間,なし,自転車510台　バイク29台,一時利用と定期利用の併設,有料,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・狛江市
40011,狛江市,オダクル和泉多摩川第2,東京都狛江市東和泉4-6,35.626708,139.573145,,,,,,,,,,,03-3488-7181,,24時間,なし,207台,一時利用のみ,有料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・狛江市
40012,狛江市,中和泉一丁目自転車置場,東京都狛江市中和泉1-25,35.634477,139.573671,,,,,,,,,,,03-3430-1111,,24時間,なし,200台,一時利用のみ,無料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・狛江市
40013,狛江市,和泉多摩川自転車置場（高架下）,東京都狛江市東和泉4-9,35.626845,139.571396,,,,,,,,,,,03-3430-1111,,24時間,なし,400台,一時利用のみ,無料,,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・狛江市
